Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
crayon.png,shirt.png,tallstool.png,shortstool.png,tallstool.mp3,3,critical,B,890,1408,890,1967
tallgiraffe.png,pretzel.png,shortlamp.png,talllamp.png,talllamp.mp3,4,critical competitor,B,992,1547,992,2300
blanket.png,measuringcup.png,longpants.png,shortpants.png,blanket.mp3,1,contrast filler,B,,1073,1073,1785
creditcard.png,wagon.png,smalltooth.png,bigtooth.png,wagon.mp3,2,contrast filler,B,,1087,1087,1776
shortscrew.png,longscrew.png,sloth.png,kiwi.png,sloth.mp3,3,contrast filler,B,,901,901,1641
tallwineglass.png,shortwineglass.png,controller.png,calendar.png,calendar.mp3,4,contrast filler,B,,1059,1059,1777
toaster.png,pot.png,shortcorn.png,longcorn.png,toaster.mp3,1,contrast filler,B,,974,974,1640
deodorant.png,salad.png,tallspeaker.png,shortspeaker.png,salad.mp3,2,contrast filler,B,,914,914,1634
longhairbrush.png,shorthairbrush.png,microwave.png,plant.png,microwave.mp3,3,contrast filler,B,,865,865,1900
bigbeehive.png,smallbeehive.png,icecube.png,calculator.png,calculator.mp3,4,contrast filler,B,,893,893,1696
measuringtape.png,zebra.png,shortwig.png,longwig.png,measuringtape.mp3,1,contrast filler,B,,829,829,1821
perfume.png,binder.png,shortplunger.png,longplunger.png,binder.mp3,2,contrast filler,B,,1085,1085,1638
shortdumbbell.png,longdumbbell.png,hanger.png,kettle.png,hanger.mp3,3,contrast filler,B,,928,928,1590
shortgiftbag.png,tallgiftbag.png,soap.png,taco.png,taco.mp3,4,contrast filler,B,,971,971,1548
smoothie.png,papertowel.png,longsnake.png,shortsnake.png,smoothie.mp3,1,contrast filler,B,,864,864,1518
washingmachine.png,bible.png,shortchimney.png,tallchimney.png,bible.mp3,2,contrast filler,B,,894,894,1483
shortlizard.png,longlizard.png,cereal.png,cellphone.png,cereal.mp3,3,contrast filler,B,,877,877,1568
tallhaystack.png,shorthaystack.png,chalk.png,battery.png,battery.mp3,4,contrast filler,B,,931,931,1533
surfboard.png,laptop.png,fatcomb.png,skinnycomb.png,surfboard.mp3,1,contrast filler,B,,874,874,1808
pacifier.png,handcuffs.png,smalldiamond.png,bigdiamond.png,handcuffs.mp3,2,contrast filler,B,,962,962,1894
longstraw.png,shortstraw.png,chocolatebar.png,mouse.png,chocolatebar.mp3,3,contrast filler,B,,995,995,1882
smallbubble.png,bigbubble.png,coconut.png,treasurechest.png,treasurechest.mp3,4,contrast filler,B,,939,939,1981
owl.png,sandcastle.png,skinnybacon.png,fatbacon.png,owl.mp3,1,contrast filler,B,,1054,1054,1568
net.png,blowdryer.png,thickspoon.png,thinspoon.png,blowdryer.mp3,2,contrast filler,B,,1046,1046,1783
fatpickle.png,skinnypickle.png,goggles.png,hook.png,goggles.mp3,3,contrast filler,B,,955,955,1755
bigchili.png,smallchili.png,shark.png,printer.png,printer.mp3,4,contrast filler,B,,936,936,1506
yogurt.png,buffalo.png,skinnymirror.png,fatmirror.png,yogurt.mp3,1,contrast filler,B,,884,884,1603
snowglobe.png,icecream.png,bigfrog.png,smallfrog.png,icecream.mp3,2,contrast filler,B,,988,988,1643
fatrug.png,skinnyrug.png,violin.png,safe.png,violin.mp3,3,contrast filler,B,,880,880,1614
bighand.png,smallhand.png,cookie.png,flyswatter.png,flyswatter.mp3,4,contrast filler,B,,892,892,1856
spaghetti.png,rainbow.png,fatstocking.png,skinnystocking.png,spaghetti.mp3,1,contrast filler,B,,881,881,1541
charger.png,dragon.png,bigcake.png,smallcake.png,dragon.mp3,2,contrast filler,B,,964,964,1609
widebush.png,narrowbush.png,rooster.png,popsicle.png,rooster.mp3,3,contrast filler,B,,869,869,1485
smallsuitcase.png,bigsuitcase.png,pinecone.png,kite.png,kite.mp3,4,contrast filler,B,,1045,1045,1586
rattle.png,tongs.png,thinsausage.png,thicksausage.png,rattle.mp3,1,contrast filler,B,,985,985,1551
slippers.png,mop.png,smallthermometer.png,bigthermometer.png,mop.mp3,2,contrast filler,B,,916,916,1561
narrownose.png,widenose.png,lighter.png,pillow.png,lighter.mp3,3,contrast filler,B,,931,931,1496
thinrollingpin.png,thickrollingpin.png,chips.png,feather.png,feather.mp3,4,contrast filler,B,,883,883,1456
acorn.png,remote.png,thicktire.png,thintire.png,acorn.mp3,1,contrast filler,B,,995,995,1700
cuttingboard.png,toilet.png,smalllion.png,biglion.png,toilet.mp3,2,contrast filler,B,,937,937,1571
thinbone.png,thickbone.png,gun.png,pinata.png,gun.mp3,3,contrast filler,B,,978,978,1418
thickeyebrows.png,thineyebrows.png,train.png,magnifyingglass.png,magnifyingglass.mp3,4,contrast filler,B,,890,890,2385
steeringwheel.png,microscope.png,dragonfly.png,golfclub.png,steeringwheel.mp3,1,filler,B,,994,994,1937
piano.png,pen.png,lobster.png,bus.png,pen.mp3,2,filler,B,,850,850,1314
ant.png,purse.png,sailboat.png,stroller.png,sailboat.mp3,3,filler,B,,864,864,1721
mailbox.png,eggplant.png,drum.png,elephant.png,elephant.mp3,4,filler,B,,1050,1050,1749
heart.png,carseat.png,chick.png,shoppingcart.png,heart.mp3,1,filler,B,,877,877,1537
accordion.png,cherry.png,basketball.png,sock.png,cherry.mp3,2,filler,B,,1028,1028,1593
pencilsharpener.png,gears.png,harp.png,policeman.png,harp.mp3,3,filler,B,,1004,1004,1690
football.png,mushroom.png,helicopter.png,seahorse.png,seahorse.mp3,4,filler,B,,970,970,1876
helmet.png,penguin.png,grenade.png,hotdog.png,helmet.mp3,1,filler,B,,875,875,1505
grapefruit.png,bell.png,wine.png,ghost.png,bell.mp3,2,filler,B,,1002,1002,1455
motorcycle.png,folder.png,glove.png,pineapple.png,glove.mp3,3,filler,B,,1107,1107,1741
jumprope.png,leaf.png,map.png,carrot.png,carrot.mp3,4,filler,B,,895,895,1509
